Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Matches,Name_no_spec_chars
Giacomo Raspadori,ITA,FWMF,Sassuolo,Serie A,20.0,2000.0,13.7,60.0,4.38,36.0,10.0,3.0,0.0,9.0,2.0,8.0,0.58,3.0,2.0,0.0,0.0,3.0,0.0,Matches,Giacomo Raspadori
Federico Ravaglia,ITA,GK,Bologna,Serie A,20.0,1999.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Federico Ravaglia
Tim Ream,USA,DF,Fulham,Premier League,32.0,1987.0,7.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tim Ream
Ante Rebić,CRO,FW,Milan,Serie A,26.0,1993.0,19.7,71.0,3.6,54.0,1.0,5.0,5.0,4.0,2.0,13.0,0.66,8.0,0.0,0.0,1.0,3.0,1.0,Matches,Ante Rebic
Arkadiusz Reca,POL,DF,Crotone,Serie A,25.0,1995.0,25.7,49.0,1.91,32.0,3.0,6.0,0.0,6.0,2.0,13.0,0.51,4.0,2.0,3.0,0.0,4.0,0.0,Matches,Arkadiusz Reca
Recio,ESP,MF,Eibar,La Liga,29.0,1991.0,8.2,28.0,3.43,13.0,11.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Recio
Daishawn Redan,NED,FWMF,Hertha BSC,Bundesliga,19.0,2001.0,1.1,3.0,2.65,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Daishawn Redan
Nathan Redmond,ENG,MFFW,Southampton,Premier League,26.0,1994.0,19.3,58.0,3.0,39.0,0.0,10.0,3.0,4.0,2.0,4.0,0.21,4.0,0.0,0.0,0.0,0.0,0.0,Matches,Nathan Redmond
Harrison Reed,ENG,MF,Fulham,Premier League,25.0,1995.0,25.0,40.0,1.6,32.0,6.0,0.0,2.0,0.0,0.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,Matches,Harrison Reed
Vasco Regini,ITA,DF,Sampdoria,Serie A,29.0,1990.0,1.0,1.0,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Vasco Regini
Sergio Reguilón,ESP,DF,Tottenham,Premier League,23.0,1996.0,24.9,41.0,1.64,28.0,1.0,2.0,5.0,5.0,0.0,8.0,0.32,7.0,0.0,0.0,0.0,1.0,0.0,Matches,Sergio Reguilon
Bobby Reid,JAM,MFDF,Fulham,Premier League,27.0,1993.0,26.4,33.0,1.25,24.0,0.0,2.0,2.0,3.0,2.0,5.0,0.19,4.0,0.0,0.0,0.0,1.0,0.0,Matches,Bobby Reid
Pepe Reina,ESP,GK,Lazio,Serie A,37.0,1982.0,29.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pepe Reina
Jeff Reine-Adélaïde,FRA,MFFW,Nice,Ligue 1,22.0,1998.0,11.8,32.0,2.72,20.0,4.0,5.0,0.0,3.0,0.0,3.0,0.26,2.0,0.0,0.0,0.0,1.0,0.0,Matches,Jeff Reine Adelaide
Jeff Reine-Adélaïde,FRA,FW,Lyon,Ligue 1,22.0,1998.0,0.3,1.0,3.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Jeff Reine Adelaide
Reinier,BRA,MFFW,Dortmund,Bundesliga,18.0,2002.0,2.9,7.0,2.45,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.35,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Reinier
Francisco Reis Ferreira,POR,DF,Valencia,La Liga,23.0,1997.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Francisco Reis Ferreira
Rocco Reitz,GER,MF,M'Gladbach,Bundesliga,18.0,2002.0,0.7,3.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Rocco Reitz
Karim Rekik,NED,DF,Sevilla,La Liga,25.0,1994.0,7.3,8.0,1.1,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Karim Rekik
Álex Remiro,ESP,GK,Real Sociedad,La Liga,25.0,1995.0,38.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alex Remiro
Panagiotis Retsos,GRE,DF,Saint-Étienne,Ligue 1,21.0,1998.0,3.0,3.0,0.99,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Panagiotis Retsos
Marco Reus,GER,MFFW,Dortmund,Bundesliga,31.0,1989.0,25.3,92.0,3.63,57.0,11.0,6.0,6.0,10.0,2.0,12.0,0.47,6.0,2.0,0.0,1.0,2.0,1.0,Matches,Marco Reus
Elvis Rexhbeçaj,GER,MFFW,Köln,Bundesliga,22.0,1997.0,20.4,43.0,2.11,22.0,12.0,1.0,3.0,4.0,1.0,4.0,0.2,2.0,0.0,0.0,1.0,0.0,1.0,Matches,Elvis Rexhbecaj
Oriol Rey,ESP,MF,Valladolid,La Liga,22.0,1998.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Oriol Rey
Gio Reyna,USA,FWMF,Dortmund,Bundesliga,17.0,2002.0,22.0,69.0,3.14,43.0,7.0,7.0,2.0,10.0,0.0,10.0,0.46,6.0,1.0,1.0,1.0,1.0,0.0,Matches,Gio Reyna
Baptiste Reynet,FRA,GK,Nîmes,Ligue 1,29.0,1990.0,38.0,6.0,0.16,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Baptiste Reynet
Bryan Reynolds,USA,DF,Roma,Serie A,19.0,2001.0,3.1,2.0,0.64,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bryan Reynolds
Franck Ribéry,FRA,FW,Fiorentina,Serie A,37.0,1983.0,23.9,73.0,3.06,53.0,0.0,10.0,1.0,8.0,1.0,13.0,0.54,10.0,0.0,2.0,0.0,1.0,0.0,Matches,Franck Ribery
Ricard,ESP,DF,Atlético Madrid,La Liga,20.0,2000.0,0.3,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ricard
Federico Ricci,ITA,FW,Sassuolo,Serie A,26.0,1994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Federico Ricci
Giacomo Ricci,ITA,DF,Parma,Serie A,23.0,1996.0,0.7,2.0,2.69,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Giacomo Ricci
Matteo Ricci,ITA,MF,Spezia,Serie A,26.0,1994.0,24.8,43.0,1.74,35.0,5.0,0.0,1.0,1.0,1.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,Matches,Matteo Ricci
Declan Rice,ENG,MF,West Ham,Premier League,21.0,1999.0,32.0,49.0,1.53,41.0,1.0,3.0,2.0,1.0,1.0,3.0,0.09,2.0,0.0,0.0,1.0,0.0,0.0,Matches,Declan Rice
Chris Richards,USA,DF,Hoffenheim,Bundesliga,20.0,2000.0,10.5,11.0,1.05,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Chris Richards
Chris Richards,USA,DF,Bayern Munich,Bundesliga,20.0,2000.0,1.0,3.0,3.03,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Chris Richards
Lewis Richardson,ENG,FWMF,Burnley,Premier League,17.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Lewis Richardson
Richarlison,BRA,FW,Everton,Premier League,23.0,1997.0,31.8,80.0,2.52,51.0,0.0,9.0,5.0,14.0,1.0,9.0,0.28,5.0,0.0,2.0,1.0,1.0,0.0,Matches,Richarlison
Marco Richter,GER,FWMF,Augsburg,Bundesliga,22.0,1997.0,15.7,46.0,2.92,23.0,6.0,10.0,2.0,4.0,1.0,6.0,0.38,3.0,0.0,0.0,1.0,1.0,1.0,Matches,Marco Richter
Mikel Rico,ESP,MF,Huesca,La Liga,35.0,1984.0,24.3,46.0,1.9,38.0,2.0,1.0,1.0,3.0,1.0,7.0,0.29,7.0,0.0,0.0,0.0,0.0,0.0,Matches,Mikel Rico
Sergio Rico,ESP,GK,Paris S-G,Ligue 1,26.0,1993.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sergio Rico
Jaïro Riedewald,NED,MF,Crystal Palace,Premier League,23.0,1996.0,20.2,19.0,0.94,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Jairo Riedewald
Emiliano Rigoni,ARG,MFFW,Elche,La Liga,27.0,1993.0,12.7,18.0,1.42,10.0,5.0,0.0,2.0,0.0,1.0,2.0,0.16,1.0,0.0,0.0,1.0,0.0,0.0,Matches,Emiliano Rigoni
Tomás Rincón,VEN,MF,Torino,Serie A,32.0,1988.0,31.6,40.0,1.26,32.0,0.0,1.0,2.0,1.0,4.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,Matches,Tomas Rincon
Luis Rioja,ESP,MF,Alavés,La Liga,26.0,1993.0,23.2,51.0,2.2,37.0,2.0,5.0,2.0,3.0,2.0,10.0,0.43,4.0,1.0,2.0,0.0,1.0,2.0,Matches,Luis Rioja
Renaud Ripart,FRA,MFFW,Nîmes,Ligue 1,27.0,1993.0,33.9,48.0,1.41,30.0,1.0,8.0,5.0,3.0,1.0,3.0,0.09,1.0,0.0,0.0,2.0,0.0,0.0,Matches,Renaud Ripart
Andrea Rispoli,ITA,DF,Crotone,Serie A,31.0,1988.0,7.2,16.0,2.21,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Andrea Rispoli
Mihailo Ristić,SRB,DF,Montpellier,Ligue 1,24.0,1995.0,24.8,44.0,1.77,33.0,3.0,2.0,3.0,2.0,1.0,7.0,0.28,6.0,0.0,0.0,1.0,0.0,0.0,Matches,Mihailo Ristic
Matt Ritchie,SCO,DFMF,Newcastle Utd,Premier League,30.0,1989.0,15.0,40.0,2.67,19.0,16.0,0.0,1.0,2.0,2.0,4.0,0.27,1.0,1.0,0.0,0.0,1.0,1.0,Matches,Matt Ritchie
