Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl%_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_%,Press_Def_3rd,Press_Mid_3rd,Press_Att_3rd,Blocks,Shot_Blocks,SoT_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Name_no_spec_chars
Matheus Cunha,BRA,FWMF,Hertha BSC,Bundesliga,21.0,1999.0,23.9,39.0,30,10.0,22.0,7.0,12.0,51.0,23.5,39.0,492.0,136.0,27.6,120.0,211.0,161.0,38.0,4.0,0.0,34.0,35,74.0,6.0,0.0,Matheus Cunha
Giuseppe Cuomo,ITA,DF,Crotone,Serie A,22.0,1998.0,8.9,27.0,14,19.0,8.0,0.0,13.0,22.0,59.1,9.0,136.0,52.0,38.2,75.0,52.0,9.0,16.0,4.0,0.0,12.0,15,42.0,35.0,0.0,Giuseppe Cuomo
Patrick Cutrone,ITA,FWMF,Fiorentina,Serie A,22.0,1998.0,2.2,3.0,2,2.0,1.0,0.0,0.0,4.0,0.0,4.0,63.0,11.0,17.5,11.0,30.0,22.0,3.0,0.0,0.0,3.0,0,3.0,0.0,0.0,Patrick Cutrone
Patrick Cutrone,ITA,FWMF,Wolves,Premier League,22.0,1998.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,2.0,28.6,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Patrick Cutrone
Patrick Cutrone,ITA,FW,Valencia,La Liga,22.0,1998.0,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,6.0,21.4,3.0,11.0,14.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Patrick Cutrone
Wylan Cyprien,FRA,MF,Parma,Serie A,25.0,1995.0,4.6,10.0,6,7.0,3.0,0.0,2.0,6.0,33.3,4.0,69.0,18.0,26.1,33.0,30.0,6.0,13.0,6.0,0.0,7.0,3,13.0,11.0,2.0,Wylan Cyprien
Rafael Czichos,GER,DF,Köln,Bundesliga,30.0,1990.0,25.1,63.0,37,41.0,21.0,1.0,20.0,44.0,45.5,24.0,272.0,108.0,39.7,164.0,103.0,5.0,41.0,10.0,0.0,31.0,38,101.0,144.0,0.0,Rafael Czichos
Lennart-Marten Czyborra,GER,DF,Genoa,Serie A,21.0,1999.0,13.0,15.0,7,6.0,5.0,4.0,7.0,19.0,36.8,12.0,161.0,39.0,24.2,70.0,59.0,32.0,25.0,3.0,0.0,22.0,12,27.0,33.0,0.0,Lennart Marten Czyborra
Danilo D'Ambrosio,ITA,DF,Inter,Serie A,31.0,1988.0,7.8,16.0,11,6.0,8.0,2.0,6.0,13.0,46.2,7.0,93.0,34.0,36.6,32.0,48.0,13.0,13.0,7.0,0.0,6.0,6,22.0,16.0,0.0,Danilo DAmbrosio
Damien Da Silva,FRA,DF,Rennes,Ligue 1,32.0,1988.0,29.6,29.0,18,19.0,8.0,2.0,12.0,24.0,50.0,12.0,167.0,67.0,40.1,90.0,72.0,5.0,29.0,16.0,1.0,13.0,40,69.0,161.0,1.0,Damien Da Silva
